Epoch	Time(sec)	Loss_E	Loss_V	MAE_val(eV)	MAE_test(eV)
18	10.776588899996568	179.16479301452637	30.128779888153076	7.398618698120117,2.267462730407715	7.573996067047119,1.177826166152954
19	11.276612999998179	163.91472053527832	32.32509469985962	7.310068130493164,2.255495309829712	7.4776530265808105,1.1730742454528809
20	11.715256999999838	171.2175464630127	32.834495544433594	7.2075886726379395,2.240121364593506	7.365956783294678,1.1669588088989258
21	12.184200699997746	167.27680206298828	30.292874336242676	7.087183952331543,2.2215945720672607	7.235557556152344,1.159541368484497
22	12.627128000000084	153.511962890625	31.46742868423462	6.947517395019531,2.1981277465820312	7.083169460296631,1.1501604318618774
23	13.122013899999729	151.55349922180176	31.180636882781982	6.787787437438965,2.172245979309082	6.907667636871338,1.1398566961288452
24	13.499888999998802	149.20795822143555	29.406932830810547	6.604428291320801,2.1423439979553223	6.706192970275879,1.1279281377792358
25	13.87300829999731	128.58220100402832	31.44644546508789	6.394217014312744,2.104923963546753	6.475887298583984,1.1129742860794067
26	14.426019199996517	125.45109176635742	32.297260761260986	6.157570838928223,2.0630931854248047	6.2153544425964355,1.096248984336853
27	14.816551699997945	123.47927856445312	31.534732818603516	5.889024257659912,2.0209221839904785	5.9205522537231445,1.0793399810791016
28	15.232926899996528	103.06204986572266	32.48659801483154	5.585901737213135,1.9724578857421875	5.587986946105957,1.0599197149276733
29	15.670481399996788	92.27689170837402	30.595354080200195	5.251578330993652,1.921442985534668	5.220996379852295,1.039466381072998
30	16.099874599996838	86.10600566864014	30.556822776794434	4.883939743041992,1.8624593019485474	4.8142218589782715,1.0161278247833252
31	16.54299979999996	75.87884616851807	30.425987720489502	4.477904796600342,1.7968368530273438	4.363427639007568,0.9903335571289062
32	16.97433849999652	68.23050785064697	31.030548095703125	4.043127536773682,1.7894799709320068	3.8830273151397705,1.0075384378433228
33	17.416857699998218	60.82787895202637	30.70189905166626	3.5760860443115234,1.7825368642807007	3.368436574935913,1.0244156122207642
34	17.88727049999943	44.07577705383301	29.49847173690796	3.0731101036071777,1.7740230560302734	2.822209119796753,1.0412015914916992
35	18.315124699998705	39.489020347595215	30.771125316619873	2.563286781311035,1.7653887271881104	2.267443895339966,1.058032751083374
36	18.784160999999585	32.04401445388794	29.743287086486816	2.0449955463409424,1.7554396390914917	1.7093244791030884,1.075895071029663
37	19.338399899999786	23.038179636001587	32.78239297866821	1.5452390909194946,1.745684027671814	1.1748172044754028,1.1229560375213623
38	19.79507989999911	21.99110770225525	31.15056324005127	1.1112792491912842,1.7425248622894287	0.7078283429145813,1.1307014226913452
39	20.2151277999983	16.84477013349533	29.98670768737793	0.7812143564224243,1.7424770593643188	0.35340672731399536,1.11453378200531
40	20.659889899998234	27.766148805618286	30.943769454956055	0.8160518407821655,1.742954969406128	0.3025034964084625,1.0960479974746704
41	21.07409529999859	15.529231309890747	29.000930786132812	0.8416920900344849,1.7470173835754395	0.3981694281101227,1.0700666904449463
42	21.535594499997387	17.951160788536072	30.439029693603516	0.8546791076660156,1.7487404346466064	0.482759565114975,1.0631459951400757
43	21.943201399997633	15.507381200790405	29.497161865234375	0.8604552745819092,1.7520081996917725	0.5288392305374146,1.0526918172836304
44	22.378756399997656	16.64860725402832	30.209867477416992	0.8574001789093018,1.7542312145233154	0.5264539122581482,1.0454514026641846
45	22.805908599999384	16.547717452049255	30.143006801605225	0.8521990776062012,1.7555252313613892	0.514318585395813,1.0407333374023438
46	23.266659199998685	20.628652572631836	31.664109230041504	0.8489164113998413,1.7577292919158936	0.5106253623962402,1.0342048406600952
47	23.659904000000097	17.95098626613617	31.010859966278076	0.84676194190979,1.7599326372146606	0.5163331031799316,1.0277694463729858
48	24.114114999996673	15.73961079120636	30.68966245651245	0.8392958641052246,1.7627382278442383	0.4945468008518219,1.0198493003845215
49	24.560394299998734	15.927978754043579	28.408408641815186	0.8285982608795166,1.7644827365875244	0.4495558738708496,1.0142242908477783
